trade_id,symbol,side,entry_time,exit_time,entry_price,exit_price,stop_loss,take_profit,quantity,pnl,pnl_pct,fees,rr_planned,outcome,platform,timeframe_hint,source_image,source_path,capture_ts_from_name,confidence,field_confidence,dedupe_key,dataset_version,ocr_n_labels,ocr_n_gray,ocr_n_green,ocr_n_red,ocr_raw_preview,validation_issues,flags
cc84a44a2be105fd,UNKNOWN,,,,,,,,,,,,,unknown,WhatsApp,,IMG-20260424-WA0045.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260424-WA0045.jpg,,0.3,"{""symbol"": 0.3, ""capture_ts"": 0.0}",aea9662c416c,v_ops_apr_sep,0,0,0,0,LIQUIDES High 23:80 22:88 21:88 Low,"[""missing_entry"", ""missing_side"", ""low_confidence"", ""sparse_ocr""]",missing_side;missing_entry
039ed97651840a49,XAUUSD,long,,,4692.03,,4686.38,4705.18,,,,,2.327,open,WhatsApp,,IMG-20260513-WA0001.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260513-WA0001.jpg,,0.803,"{""entry"": 0.896941350400448, ""take_profit"": 0.8884687691926956, ""stop_loss"": 0.8280701667070389, ""side"": 0.9, ""symbol"": 0.5, ""capture_ts"": 0.0}",3faf822f98b4,v_ops_apr_sep,21,1,2,1,"11:28 TTradingView Oroalcontado/Dolarestadouniden....30 USD -6,39 (-0,14%) 4.720,00 4.716,00 4.712,00 XAUUSD 4.708,65 01:24 4.705,18 4.704,00 4.700,00 4.696,00 4.692,03 4.688,00 4.686,38 4.684,00 4.680,00 4.676,00 4.672,00 4.668,00 4.665,33",[],
1b3a66ab5bc9b5ac,XAUUSD,,,,,,,4533.6,,,,,,unknown,WhatsApp,,IMG-20260515-WA0003.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260515-WA0003.jpg,,0.35,"{""take_profit"": 0.8884918808937072, ""symbol"": 0.5, ""capture_ts"": 0.0}",13d8710bcb8d,v_ops_apr_sep,31,0,1,2,"11:04 1TradingView .4G Oroalcontado/Dolarestadounidense USD 15,13(-2,48%) 4.600,00 4.595,00 Posiciones Ordenes Transacciones XAUUSDbuy0.25 4.590,00 -103.50 4646.32→4642.18 2026.05.1500:20:00 XAUUSDsell2 1502.00 4.585,00 4550.63→4543.12 2026","[""missing_entry"", ""missing_side"", ""low_confidence""]",missing_side;missing_entry
ceb170e24c8badc2,XAUUSD,,,,4543.28,,4512.69,4498.98,,,,,1.448,open,WhatsApp,H1,IMG-20260526-WA0003.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260526-WA0003.jpg,,0.782,"{""entry"": 0.897218418121338, ""take_profit"": 0.8934136748313903, ""stop_loss"": 0.8391196340322495, ""symbol"": 0.5, ""capture_ts"": 0.0}",ceeaee761d28,v_ops_apr_sep,25,1,2,1,"11:03 TradingView Oroalcontado/Dolarestadounidense USD -9,01(-0,20%) 4.548,00 BUYSPOTENCIAL 4.544.00 4.543,28 4.540,00 11:00 三 536,00 534,78 Posiciones Ordenes Transacciones 532,00 Balance 100000.00 ProgramaBalance:100000.00USD 2026.05.20 1","[""missing_side""]",missing_side
62745f1db947c362,XAUUSD,long,,,4024.04,,3998.41,4104.68,,,,,3.146,open,WhatsApp,,IMG-20260702-WA0001.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260702-WA0001.jpg,,0.817,"{""entry"": 0.95, ""take_profit"": 0.8948609054088592, ""stop_loss"": 0.8393411636352539, ""side"": 0.9, ""symbol"": 0.5, ""capture_ts"": 0.0}",e268cc1ad6dd,v_ops_apr_sep,29,5,6,5,"7:58 1'TradingView 4G Oroalcontado/Dolarestadounidense USD 28 (+2,07%) 4.10U,UU eAlgo 4.170,00 4.160,00 4.150,00 4.144,55 4.140,00 4.129,54 4.120,00 XAUUSD 4.114,23 01:09 4.107,69 4.104,68 4.091,31 4.085,42 4.080,00 4.070,00 4.057,75 060-00",[],
d57967b8bdcdec64,BTCUSDT,short,,,62823.102,,,62552.0,,,,,,open,WhatsApp,,IMG-20260703-WA0006.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260703-WA0006.jpg,,0.849,"{""entry"": 0.95, ""take_profit"": 0.895710039138794, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.0}",7edaac731eb1,v_ops_apr_sep,18,3,3,0,"Maximo 62.979,860 62.960,000 62.920,000 62.880,000 62.840,420 62.823,102 62.800,00 62.760,000 62.714,020 720.000 62.680,000 62.640,000 62.600,00 62.583,260 62.552,000 62.560.000 02:33 62.520,000 62.500,240 62.480,000 71,6 70,0 50,0",[],
56ea4d6330af4976,BTCUSDT,short,,,64268.49,,,64006.01,,,,,,open,WhatsApp,,IMG-20260710-WA0006.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260710-WA0006.jpg,,0.849,"{""entry"": 0.95, ""take_profit"": 0.8942901849746705, ""side"": 0.65, ""symbol"": 0.9, ""capture_ts"": 0.0}",1d84aac90f70,v_ops_apr_sep,21,2,2,0,"64.350,00 64.325,000 Maximo 64.310,000 04.300,0U 64.268,490 64.275.000 64.250,00 64.223,104 64.200,00 64.175,000 64.161,720 64.150,00 64.127,376 64.100,00 64.075,000 64.058,310 04.030,00 64.025,000 Ask 64.006,010 04:20 63.975,000 63.950,00 ",[],
0c8b8edcd7239ed8,BTCUSDT,long,,,64223.104,,64093.23,64284.63,,,,,0.474,open,WhatsApp,,IMG-20260711-WA0000.jpg,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\IMG-20260711-WA0000.jpg,,0.897,"{""entry"": 0.95, ""take_profit"": 0.8929218697547913, ""stop_loss"": 0.8417696142196656, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.0}",dfd2943740d3,v_ops_apr_sep,18,2,2,1,"64.320,000 Maximo 64.310,000 64.300,000 64.284,630 04.Z0U,0UU Ask 64.265,740 04:53 64.240,000 64.223,104 64.200,000 64.180,000 64.161,720 64.154,112 64.142,090 64.120,000 64.108,004 64.100,000 64.093,230 64.080,000 64.060.000 70,0 63,4 62,3",[],
e53ffb77b15687db,BTCUSDT,short,2026-03-24 19:44:12,,70690.08,,70931.04,70204.73,,,,,2.014,open,Exness,,Screenshot_20260324-194412.Exness.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260324-194412.Exness.png,2026-03-24 19:44:12,0.898,"{""entry"": 0.95, ""take_profit"": 0.8986244599024455, ""stop_loss"": 0.8430710077285767, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",2b1be3e9a429,v_ops_apr_sep,14,2,2,1,"Maximo 71.026,38 71.000,UU 70.931,04 70.899,40 70.800,00 70.715,81 70.690,08 70-600-00 70.578,16 70.500,00 70.400,00 70.344,73 70.300,00 70.204,73 70.190,72 70.100.00 Minimo 70.079,71",[],
47c7f887654c393f,BTCUSDT,long,2026-03-31 11:54:55,,66944.33,,66705.56,67824.4,,,,,3.686,open,Exness,,Screenshot_20260331-115455.Exness.png,D:\Danilo\Trading\Cursor Trading\assets\images\Operaciones del celular desde 1 abril hasta 17 septiembre\Screenshot_20260331-115455.Exness.png,2026-03-31 11:54:55,0.886,"{""entry"": 0.8969770193099976, ""take_profit"": 0.895243247350057, ""stop_loss"": 0.8382280005349054, ""side"": 0.9, ""symbol"": 0.9, ""capture_ts"": 0.95}",ffdd5bc27a70,v_ops_apr_sep,13,1,1,2,"Maximo 67.961,77 67.824,40 67.726,05 67.625,46 67.400,00 67.200,00 67.000,00 66.944,33 66.800,00 66.705,56 66.600,00 66.492,96 66.400.00 Minimo 66.350,71",[],
